"","muni_id","year","forest_loss_all_gross","forest","forest_change","gdp_pc","population","pop_dens","pa_tot_ha","n_fined","brl_fined","spei_dry","gdp_pc_change","population_change","pop_dens_change","pa_tot_ha_change","n_fined_change","brl_fined_change","GoldPrice","shift_1","shift_2","shift_3","shift_4","garimpo_ha","garimpo_ha_change"
"14868",5106216,2022,2321.30394001465,222097.634096257,-2811.304993314,34265.4007598831,11707,0.019665387724948,980.269296003596,0,0,0,812.471872523805,-1169,-0.00196368311697823,0,-3,-1598999.82870204,1800.602,0.973000000000184,30.3480000000002,408.104,531.375,554.85,46.98
"14869",5106224,2002,7614.7986284851,426950.341656502,-6746.52684578003,34936.4200089163,15195,0.0159329939747173,74.3497375402254,3,154639.307056032,0,NA,661,0.000693103587843906,0,2,123351.031885621,309.972,38.983,30.94,31.204,15.811,0,0
"14870",5106224,2003,16188.4399354735,411719.753711385,-15230.587945117,53592.6326136082,15932,0.0167057887466401,74.3497375402254,22,1985731.92522853,0,18656.2126046919,737,0.000772794771922783,0,19,1831092.6181725,363.509,53.537,92.52,84.477,84.741,0,0
"14871",5106224,2004,18489.2484160925,394402.078663193,-17317.675048192,60513.6355815066,17473,0.0183216323606605,74.3497375402254,18,2166270.73731067,0,6921.00296789846,1541,0.00161584361402036,0,-4,180538.812082141,409.212,45.703,99.24,138.223,130.18,0,0
"14872",5106224,2005,6508.42618848258,388635.906048877,-5766.17261431605,50320.9185409679,18329,0.0192192067497594,74.3497375402254,7,296244.097496615,0,-10192.7170405387,856,0.000897574389098918,0,-11,-1870026.63981406,444.843,35.631,81.334,134.871,173.854,0,0
"14873",5106224,2006,5631.26887300419,383905.378716881,-4730.52733199595,30005.8036999091,19178,0.0201094411613774,74.3497375402254,3,2075188.78356779,0,-20315.1148410588,849,0.000890234411617966,0,-4,1778944.68607118,604.336,159.493,195.124,240.827,294.364,0,0
"14874",5106224,2007,1809.6615543335,383106.48715752,-798.891559361015,36634.350259747,24368,0.0255515101793953,74.3497375402254,2,235844.868942964,0,6628.54655983788,5190,0.00544206901801797,0,-1,-1839343.91462483,696.72,92.384,251.877,287.508,333.211,0,0
"14875",5106224,2008,1760.40008474121,383516.176177748,409.68902022799,49786.5047170071,25658,0.0269041631723131,74.3497375402254,4,146302.086765656,0,13152.15445726,1290,0.00135265299291776,0,2,-89542.7821773078,871.707,174.987,267.371,426.864,462.495,0,0
"14876",5106224,2009,2526.05954941406,381581.973735464,-1934.20244228397,41968.0178983391,26874,0.0281792221175751,74.3497375402254,2,138077.12137176,0,-7818.48681866794,1216,0.00127505894526201,0,-2,-8224.96539389528,972.966,101.259,276.246,368.63,528.123,0,0
"14877",5106224,2010,2381.41525203246,380610.303394897,-971.670340567012,35167.48,31649,0.033186135327794,74.3497375402254,0,0,0,-6800.53789833911,4775,0.00500691321021884,0,-2,-138077.12137176,1224.664,251.698,352.957,527.944,620.328,0,0
"14878",5106224,2011,2586.06335797119,379011.980124082,-1598.32327081502,47818.3005696418,33034,0.0346384023008103,74.3497375402254,0,0,0,12650.8205696418,1385,0.00145226697301636,0,0,0,1569.211,344.547,596.245,697.504,872.491,0,0
"14879",5106224,2012,2259.41550914307,377724.770424219,-1287.20969986299,45261.7854469467,34374,0.0360434837043063,74.3497375402254,0,0,1,-2556.51512269513,1340,0.00140508140349597,0,0,0,1669.518,100.307,444.854,696.552,797.811,0,0
"14880",5106224,2013,2448.19850698242,376205.111179568,-1519.65924465103,47141.1098775967,36659,0.0384394620677304,74.3497375402254,0,0,0,1879.32443064998,2285,0.0023959783634241,0,0,0,1411.462,-258.056,-157.749,186.798,438.496,0,0
"14881",5106224,2014,991.758966510011,376413.461394332,208.35021476401,48299.4046484996,38206,0.0400615970910201,74.3497375402254,0,0,0,1158.29477090296,1547,0.00162213502328975,0,0,0,1265.578,-145.884,-403.94,-303.633,40.914,0,0
"14882",5106224,2015,2063.72561815185,375438.661330925,-974.80006340699,44304.5346667337,39712,0.0416407408176357,74.3497375402254,1,89838.7631208878,0,-3994.86998176589,1506,0.00157914372661561,0,1,89838.7631208878,1160.663,-104.915,-250.799,-508.855,-408.548,0,0
