"muni_id","year","garimpo_ha","garimpo_ha_change"
1100015,1985,0,0
1100015,1986,0,0
1100015,1987,0,0
1100015,1988,0,0
1100015,1989,0,0
1100015,1990,0,0
1100015,1991,0,0
1100015,1992,0,0
1100015,1993,0,0
1100015,1994,0,0
1100015,1995,0,0
1100015,1996,0,0
1100015,1997,0,0
1100015,1998,0,0
1100015,1999,0,0
1100015,2000,0,0
1100015,2001,0,0
1100015,2002,0,0
1100015,2003,0,0
1100015,2004,0,0
1100015,2005,0,0
1100015,2006,0,0
1100015,2007,0,0
1100015,2008,0,0
1100015,2009,0,0
1100015,2010,0,0
1100015,2011,0,0
1100015,2012,0,0
1100015,2013,0,0
1100015,2014,0,0
1100015,2015,0,0
1100015,2016,0,0
1100015,2017,0,0
1100015,2018,0,0
1100015,2019,0,0
1100015,2020,0,0
1100015,2021,0,0
1100015,2022,0,0
1100023,1985,241.951764705882,241.951764705882
1100023,1986,327.919411764706,85.9676470588237
1100023,1987,363.199411764706,35.28
1100023,1988,381.682941176471,18.4835294117647
1100023,1989,399.502941176471,17.82
1100023,1990,415.521176470589,16.0182352941177
1100023,1991,423.374117647058,7.85294117646902
1100023,1992,443.714117647058,20.34
1100023,1993,445.514117647058,1.80000000000001
1100023,1994,452.264117647058,6.75
1100023,1995,462.524117647058,10.26
1100023,1996,471.287647058822,8.76352941176464
1100023,1997,481.378235294116,10.0905882352941
1100023,1998,483.988235294116,2.61000000000001
1100023,1999,476.518235294116,-7.47000000000003
1100023,2000,496.768235294116,20.25
1100023,2001,497.038235294116,0.269999999999982
1100023,2002,520.618235294116,23.58
1100023,2003,530.338235294116,9.72000000000003
1100023,2004,557.821764705881,27.4835294117646
1100023,2005,636.019411764704,78.1976470588233
1100023,2006,699.502941176469,63.4835294117647
1100023,2007,738.809999999998,39.3070588235291
1100023,2008,767.654117647057,28.8441176470587
1100023,2009,808.244117647057,40.59
1100023,2010,847.754117647057,39.5100000000001
1100023,2011,886.634117647057,38.8799999999999
1100023,2012,912.734117647057,26.1
1100023,2013,937.674705882351,24.9405882352941
1100023,2014,980.784705882351,43.11
1100023,2015,1037.66470588236,56.8800000000049
1100023,2016,1112.45470588236,74.79
1100023,2017,1178.02941176471,65.5747058823533
1100023,2018,1218.97941176471,40.9499999999998
1100023,2019,1295.83941176471,76.8600000000004
1100023,2020,1341.48,45.6405882352942
1100023,2021,1530.69352941177,189.213529411765
1100023,2022,1644.63352941177,113.94
1100031,1985,0,0
1100031,1986,0,0
1100031,1987,0,0
1100031,1988,0,0
1100031,1989,0,0
1100031,1990,0,0
1100031,1991,0,0
1100031,1992,0,0
1100031,1993,0,0
1100031,1994,0,0
1100031,1995,0,0
1100031,1996,0,0
1100031,1997,0,0
1100031,1998,0,0
1100031,1999,0,0
1100031,2000,0,0
1100031,2001,0,0
1100031,2002,0,0
1100031,2003,0,0
1100031,2004,0,0
1100031,2005,0,0
1100031,2006,0,0
1100031,2007,0,0
1100031,2008,0,0
1100031,2009,0,0
1100031,2010,0,0
1100031,2011,0,0
1100031,2012,0,0
1100031,2013,0,0
1100031,2014,0,0
1100031,2015,0,0
1100031,2016,0,0
1100031,2017,0,0
1100031,2018,0,0
1100031,2019,0,0
1100031,2020,0,0
1100031,2021,0,0
1100031,2022,0,0
1100049,1985,0,0
1100049,1986,0,0
1100049,1987,0,0
1100049,1988,0,0
1100049,1989,0,0
1100049,1990,0,0
1100049,1991,0,0
1100049,1992,0,0
1100049,1993,0,0
1100049,1994,0,0
1100049,1995,0,0
1100049,1996,0,0
1100049,1997,0,0
1100049,1998,0,0
1100049,1999,0,0
1100049,2000,0,0
1100049,2001,0,0
1100049,2002,0,0
1100049,2003,0,0
1100049,2004,0,0
1100049,2005,0,0
1100049,2006,0,0
1100049,2007,0,0
1100049,2008,0,0
1100049,2009,0,0
1100049,2010,0,0
1100049,2011,0,0
1100049,2012,0,0
1100049,2013,0,0
1100049,2014,0,0
1100049,2015,0,0
1100049,2016,0,0
1100049,2017,0,0
1100049,2018,0,0
1100049,2019,0,0
1100049,2020,0,0
1100049,2021,0,0
1100049,2022,0,0
1100056,1985,0,0
1100056,1986,0,0
1100056,1987,0,0
1100056,1988,0,0
1100056,1989,0,0
1100056,1990,0,0
1100056,1991,0,0
1100056,1992,0,0
1100056,1993,0,0
1100056,1994,0,0
1100056,1995,0,0
1100056,1996,0,0
1100056,1997,0,0
1100056,1998,0,0
1100056,1999,0,0
1100056,2000,0,0
1100056,2001,0,0
1100056,2002,0,0
1100056,2003,0,0
1100056,2004,0,0
1100056,2005,0,0
1100056,2006,0,0
1100056,2007,0,0
1100056,2008,0,0
1100056,2009,0,0
1100056,2010,0,0
1100056,2011,0,0
1100056,2012,0,0
1100056,2013,0,0
1100056,2014,0,0
1100056,2015,0,0
1100056,2016,0,0
1100056,2017,0,0
1100056,2018,0,0
1100056,2019,0,0
1100056,2020,0,0
1100056,2021,0,0
1100056,2022,0,0
1100064,1985,0,0
1100064,1986,0,0
1100064,1987,0,0
1100064,1988,0,0
1100064,1989,0,0
1100064,1990,0,0
1100064,1991,0,0
1100064,1992,0,0
1100064,1993,0,0
1100064,1994,0,0
1100064,1995,0,0
1100064,1996,0,0
1100064,1997,0,0
1100064,1998,0,0
1100064,1999,0,0
1100064,2000,0,0
1100064,2001,0,0
1100064,2002,0,0
1100064,2003,0,0
1100064,2004,0,0
