"year","precious_shock","nonprecious_shock","precious1","nonprecious1","precious2","nonprecious2","precious3","nonprecious3","precious4","nonprecious4"
2002,-2.01260750491955,-3.33875618916759,-2.1468382993815,-3.28618392115591,-2.11589210062776,-2.99701085811896,-2.43646074335679,-3.25714036524355,-2.4191295591877,-3.37911716681425
2003,-1.70896553690683,-3.07989333134103,-2.01260750491955,-3.33875618916759,-2.1468382993815,-3.28618392115591,-2.11589210062776,-2.99701085811896,-2.43646074335679,-3.25714036524355
2004,-1.33208813919604,-2.06364060804614,-1.70896553690683,-3.07989333134103,-2.01260750491955,-3.33875618916759,-2.1468382993815,-3.28618392115591,-2.11589210062776,-2.99701085811896
2005,-1.21175316781056,-1.46564565381251,-1.33208813919604,-2.06364060804614,-1.70896553690683,-3.07989333134103,-2.01260750491955,-3.33875618916759,-2.1468382993815,-3.28618392115591
2006,-0.224577776258692,0.943021472796101,-1.21175316781056,-1.46564565381251,-1.33208813919604,-2.06364060804614,-1.70896553690683,-3.07989333134103,-2.01260750491955,-3.33875618916759
2007,0.105350921614493,3.04408613162323,-0.224577776258692,0.943021472796101,-1.21175316781056,-1.46564565381251,-1.33208813919604,-2.06364060804614,-1.70896553690683,-3.07989333134103
2008,0.553034555543352,2.10241095081627,0.105350921614493,3.04408613162323,-0.224577776258692,0.943021472796101,-1.21175316781056,-1.46564565381251,-1.33208813919604,-2.06364060804614
2009,0.363792854814129,0.420826389097223,0.553034555543352,2.10241095081627,0.105350921614493,3.04408613162323,-0.224577776258692,0.943021472796101,-1.21175316781056,-1.46564565381251
2010,1.63407201014725,2.04322015628954,0.363792854814129,0.420826389097223,0.553034555543352,2.10241095081627,0.105350921614493,3.04408613162323,-0.224577776258692,0.943021472796101
2011,2.80088102144392,2.41378958657577,1.63407201014725,2.04322015628954,0.363792854814129,0.420826389097223,0.553034555543352,2.10241095081627,0.105350921614493,3.04408613162323
2012,2.39626286760941,1.26877652291936,2.80088102144392,2.41378958657577,1.63407201014725,2.04322015628954,0.363792854814129,0.420826389097223,0.553034555543352,2.10241095081627
2013,1.45383150574975,0.991274227347834,2.39626286760941,1.26877652291936,2.80088102144392,2.41378958657577,1.63407201014725,2.04322015628954,0.363792854814129,0.420826389097223
2014,0.825384183879293,0.71719222725264,1.45383150574975,0.991274227347834,2.39626286760941,1.26877652291936,2.80088102144392,2.41378958657577,1.63407201014725,2.04322015628954
2015,0.394013189424621,-0.116173531804414,0.825384183879293,0.71719222725264,1.45383150574975,0.991274227347834,2.39626286760941,1.26877652291936,2.80088102144392,2.41378958657577
2016,0.721471198855079,0.104514898575594,0.394013189424621,-0.116173531804414,0.825384183879293,0.71719222725264,1.45383150574975,0.991274227347834,2.39626286760941,1.26877652291936
2017,0.499594743442871,1.06478385149838,0.721471198855079,0.104514898575594,0.394013189424621,-0.116173531804414,0.825384183879293,0.71719222725264,1.45383150574975,0.991274227347834
2018,0.0812192652723436,0.883615559898331,0.499594743442871,1.06478385149838,0.721471198855079,0.104514898575594,0.394013189424621,-0.116173531804414,0.825384183879293,0.71719222725264
2019,0.355855624993814,0.7995996382988,0.0812192652723436,0.883615559898331,0.499594743442871,1.06478385149838,0.721471198855079,0.104514898575594,0.394013189424621,-0.116173531804414
2020,1.32649846562417,0.696651711306765,0.355855624993814,0.7995996382988,0.0812192652723436,0.883615559898331,0.499594743442871,1.06478385149838,0.721471198855079,0.104514898575594
2021,1.45379815345605,2.79090595100051,1.32649846562417,0.696651711306765,0.355855624993814,0.7995996382988,0.0812192652723436,0.883615559898331,0.499594743442871,1.06478385149838
2022,0.643252265774874,2.69889235020801,1.45379815345605,2.79090595100051,1.32649846562417,0.696651711306765,0.355855624993814,0.7995996382988,0.0812192652723436,0.883615559898331
